tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	treatment_ac_field	measurement_positions	er_citation_names	magic_software_packages	measurement_temp	measurement_magn_moment	measurement_sd_y	measurement_inc	measurement_description	measurement_sd_z	measurement_dec	measurement_sd_x	measurement_csd	magic_instrument_codes	treatment_temp	treatment_dc_field	magic_method_codes	measurement_flag
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	1	0	1	This study	pmagpy-3.2.1	273	5.81e-09	5.58e-10	-21.7		4.07e-11	16.8	1.77e-10	5.7		273	0	LT-NO:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	2	0	1	This study	pmagpy-3.2.1	273	5.71e-09	4.42e-10	-30.9		3.24e-11	19.7	1.83e-10	4.8		77	0	LT-LT-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	3	0	1	This study	pmagpy-3.2.1	273	7.00e-09	1.79e-10	-35.6		6.16e-11	20.4	1.14e-10	1.7		373.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	4	0	1	This study	pmagpy-3.2.1	273	7.63e-09	5.63e-10	-36.8		5.30e-11	020.5	2.36e-10	4.5	hargrave 2014-10-22 14:39:55	423.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	5	0	1	This study	pmagpy-3.2.1	273	7.85e-09	6.21e-10	-37.7		3.55e-11	020.7	2.92e-10	4.9	hargrave 2014-10-27 15:08:38	473.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	6	0	1	This study	pmagpy-3.2.1	273	7.54e-09	7.98e-10	-37.4		2.20e-10	022.7	3.51e-10	6.7	hargrave 2014-10-28 12:31:56	523.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	7	0	1	This study	pmagpy-3.2.1	273	7.22e-09	8.68e-10	-39.2		2.99e-11	025.4	4.83e-10	7.8	hargrave 2014-10-28 19:26:33	573.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	8	0	1	This study	pmagpy-3.2.1	273	6.51e-09	3.79e-10	-40.7		2.88e-11	021.0	2.21e-10	3.8	hargrave 2014-10-29 19:39:59	623.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	9	0	1	This study	pmagpy-3.2.1	273	5.91e-09	4.70e-10	-42.1		2.43e-11	022.1	2.60e-10	5.1	hargrave 2014-11-03 15:59:21	673.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	10	0	1	This study	pmagpy-3.2.1	273	5.51e-09	3.72e-10	-42.8		1.99e-11	022.1	1.85e-10	4.3	hargrave 2014-11-04 10:55:10	698.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	11	0	1	This study	pmagpy-3.2.1	273	5.05e-09	4.44e-10	-47.7		1.72e-10	023.1	2.92e-10	6.2	hargrave 2014-11-10 11:38:27	723.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	12	0	1	This study	pmagpy-3.2.1	273	4.42e-09	2.42e-10	-46.3		3.64e-11	023.5	9.93e-11	3.4	hargrave 2014-11-10 21:04:55	748.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	13	0	1	This study	pmagpy-3.2.1	273	3.94e-09	3.07e-10	-48.0		3.56e-11	029.5	1.09e-10	4.7	hargrave 2014-11-13 10:31:13	773.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	14	0	1	This study	pmagpy-3.2.1	273	3.40e-09	1.89e-10	-47.7		1.88e-10	028.7	9.79e-11	4.0	hargrave 2014-11-17 16:15:52	788.0	0	LT-T-Z:LP-DIR-T	b
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	15	0	1	This study	pmagpy-3.2.1	273	3.60e-09	1.10e-10	-52.7		1.96e-10	030.3	5.60e-11	2.7	hargrave 2014-11-24 17:05:28	803.0	0	LT-T-Z:LP-DIR-T	g
Z30.1a	Z30.1	Z30	Khukh_Davaa	Z30.1a:LP-DIR-T	16	0	1	This study	pmagpy-3.2.1	273	3.22e-09	1.12e-10	-51.2		2.27e-11	031.7	6.44e-11	2.3	hargrave 2014-12-01 15:44:12	818.0	0	LT-T-Z:LP-DIR-T	g
