tab 	pmag_sites																					
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	11.5	LOW	346.5	Site direction included in results table	68.3	9.98E+02	9.98E+02	Years Cal BP	29	7	7	0		6.791	0
	This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	11.7	MAG	61.2	Site direction included in results table	-73.9	9.98E+02	9.98E+02	Years Cal BP	28	7	7	0		6.7819	0
	This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	50	HEM	148.8	Site direction included in results table	-68.2	9.98E+02	9.98E+02	Years Cal BP	2	7	7	0		4.5139	0
	This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	11.5	LOW	62.1	Site direction included in results table	33.7	9.98E+02	9.98E+02	Years Cal BP	29	7	7	0		6.7908	100
	This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	11.7	MAG	278.4	Site direction included in results table	-46	9.98E+02	9.98E+02	Years Cal BP	28	7	7	0		6.7818	100
	This study	Khukh_Davaa	Z30	Z30.1a:Z30.2a:Z30.3a:Z30.4a:Z30.5a:Z30.6a:Z30.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	49.9	HEM	242.9	Site direction included in results table	-40.2	9.98E+02	9.98E+02	Years Cal BP	2	7	7	0		4.5155	100
	This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	3.6	LOW	0.1	Site direction included in results table	64.9	9.98E+02	9.98E+02	Years Cal BP	235	8	8	0		7.9703	0
	This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.0	ACCEPT	3.8	MAG	168.1	Site direction included in results table	-72.2	9.98E+02	9.98E+02	Years Cal BP	219	8	8	0		7.968	0
	This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	3.6	LOW	59.4	Site direction included in results table	27.9	9.98E+02	9.98E+02	Years Cal BP	236	8	8	0		7.9703	100
	This study	Khukh_Davaa	Z31	Z31.1a:Z31.2a:Z31.3a:Z31.4a:Z31.5a:Z31.6a:Z31.7a:Z31.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.0	ACCEPT	3.8	MAG	246.9	Site direction included in results table	-33.3	9.98E+02	9.98E+02	Years Cal BP	219	8	8	0		7.968	100
