high_age,low_age,median_age,A95,PLat,PLon,References
88,68,78,5.8,79.7,170.8,see Van der Voo et al. (2015)
98,78,88,5.3,81.1,294.5,see Van der Voo et al. (2015)
110,90,100,4.7,70.6,156.7,see Van der Voo et al. (2015)
123,103,113,5.2,76.8,192.1,see Van der Voo et al. (2015)
126,106,116,4.6,83.6,172.3,see Van der Voo et al. (2015)
128,108,118,5.9,75.2,147.7,see Van der Voo et al. (2015)
128,108,118,12.2,69,200.7,see Van der Voo et al. (2015)
131,111,121,3,84.8,30.2,see Van der Voo et al. (2015)
131,111,121,6.5,82.7,159.6,see Van der Voo et al. (2015)
138,118,128,6.8,73.9,153.3,see Van der Voo et al. (2015)
165,145,155,6.8,59.9,240.3,see Van der Voo et al. (2015)
165,145,155,7.9,72.8,180.3,see Van der Voo et al. (2015)
165,145,155,5.9,74.9,175.4,see Van der Voo et al. (2015)
165,145,155,6.9,78,166.8,see Van der Voo et al. (2015)
165,145,155,5.7,70.7,162.2,see Van der Voo et al. (2015)
170,150,160,6.6,68.7,159.1,see Van der Voo et al. (2015)
179,159,169,8.3,71.8,148.2,see Van der Voo et al. (2015)
179,159,169,6.4,78.9,218.6,see Van der Voo et al. (2015)
179,159,169,4.5,78.1,175.2,see Van der Voo et al. (2015)
198,178,188,6.8,84,112.9,see Van der Voo et al. (2015)
198,178,188,5.5,84.4,98.6,see Van der Voo et al. (2015)
235,208,221.5,5.8,70.9,49.8,see Van der Voo et al. (2015)
235,208,221.5,3.8,65.6,36.1,see Van der Voo et al. (2015)
241,235,238,4,64.7,22.1,see Van der Voo et al. (2015)
241,235,238,3.1,52.8,36.6,see Van der Voo et al. (2015)
241,235,238,3.9,52.2,46.9,see Van der Voo et al. (2015)
245,241,243,6.6,55.1,359.9,see Van der Voo et al. (2015)
251,245,248,3.8,67.7,7.5,see Van der Voo et al. (2015)
251,245,248,4.8,55.7,19.8,see Van der Voo et al. (2015)
261,251,256,18.9,64.7,27.4,see Van der Voo et al. (2015)
261,251,256,6.9,48.8,5.6,see Van der Voo et al. (2015)
261,251,256,4,52.9,7.4,see Van der Voo et al. (2015)
261,251,256,6.9,42,9.5,see Van der Voo et al. (2015)
270,256,263,12.2,20.9,1.4,"GPDB3086, Embleton et al. (1996)"
303,295,299,16.7,33.3,10.2,"GPDB3468, Huang et al. (2001)"
320,307,313.5,7.2,44.6,335.7,"GPDB2734, Doh and Piper (1994)"
350,321,335.5,6.2,10.5,14,"GPDB3468, Huang et al. (2001)"
416,360,388,8.8,34.2,228.7,see Huang et al. (1999)
444,416,430,8.2,26.2,228.4,see Huang et al. (1999)
488,444,466,12.3,28.8,310.9,see Huang et al. (1999)
472,461,466.5,7,31.5,327.7,Huang et al. (1999)
472,461,466.5,10.6,43.2,332.5,see Huang et al. (1999)
472,461,466.5,9.2,27.9,310.4,see Huang et al. (1999)
488,472,480,8.5,37.4,324.3,Huang et al. (1999)
501,488,494.5,5.4,31.7,329.6,Huang et al. (1999)
513,501,507,5.5,37,326.7,Huang et al. (1999)
542,513,527.5,6.5,18.5,341.9,Huang et al. (1999)
542,513,527.5,12.4,21.2,335.2,see Huang et al. (1999)
542,513,527.5,9.9,15,298.6,see Huang et al. (1999)
542,513,527.5,8.9,26.8,334.5,see Huang et al. (1999)
