high_age,low_age,median_age,A95,PLat,PLon
1,0,0.5,3.6,-80.6,267.5
1,0,0.5,4.4,-86.4,296.1
10,6,8,12.9,-84.3,357.7
11,8,9.5,1.8,-78.9,328.3
11,9,10,3.5,-77.4,314.2
14,9,11.5,6.9,-84.1,351.2
12.8,10.7,12,1.5,-72.4,352
30,18,24,4.4,-77.8,310.8
45,23,34,3.4,-80.8,2
54,45,49.5,1.5,-83,335
65,52,58.5,3.5,-82.5,338
60,50,59.4,1.2,-71.4,334.7
61,58,59.5,2.8,-74,351
60,44,52,1.5,-76,340
61,58,59.5,2.7,-81,359
58,55,56.5,4.5,-73.3,346.2
60,58,59,2.4,-81.7,359.8
60,58,59,6.1,-80.2,339.6
63,59,61,6.3,-77,355
63,53,58,2.7,-78.9,347
75,62,68.5,3.9,-84.9,222.9
83,60,71.5,8,-73,336
97,74,85.5,3,-74,341
97,74,85.5,3,-74,328
91,88,89.5,5,-68,329
97,88,92.5,4,-76,1
146,140,143,2.9,-74,3
157,152,154.5,6,-77.2,329
156,154,155,3.9,-70,327
161,155,158,7,-72,330
166,152,159,4,-78,310
161,154,157.5,7.3,-72,312
170,166,168,6.3,-63,300
185,173,179,6.8,-69,282
187,178,182.5,12,-71,276
196,176,186,5.1,-66,295.2
208,188,198,7.5,-61,259
207,195,201,9,-55,280
208,195,201.5,3,-51,285
217.7,202.6,210.2,6.5,-58,272.9
210,208,209,8,-50,286.4
223,210,216.5,5.1,-58.2,298.2
235,229,232,6,-47.1,301.6
233,220,226.5,2.9,-49,311
